,name,value,open_value,market_cap(억원),market_cap_rank
891,화천기공,31800,31900,700,코스피892위
892,유한양행우,59100,59500,698,코스피893위
893,TIGER 소프트웨어,16525,16565,697,
894,미래에셋대우우,4900,4895,690,코스피895위
895,삼성공조,8470,8400,688,코스피896위
896,키위미디어그룹,1105,0,685,코스피897위
897,ARIRANG 신흥국MSCI(합성 H),12925,12720,680,
898,동양고속,23450,23350,679,코스피899위
899,SK디스커버리우,49900,49050,678,코스피900위
900,CS홀딩스,58700,58000,678,코스피901위
901,일성건설,1250,1250,675,코스피902위
902,DL우,39600,40500,668,코스피903위
903,대호에이엘,2460,2300,668,코스피904위
904,금비,66700,66100,667,코스피905위
905,KBSTAR 중국본토대형주CSI100,22995,23000,667,
906,TIGER 미국MSCI리츠(합성 H),12560,12415,666,
907,KODEX 심천ChiNext(합성),12600,12400,655,
908,삼성 레버리지 China A50 선물 ETN(H),65200,64715,652,
909,KODEX 증권,7620,7625,644,
910,QV 하드웨어 TOP5 ETN,31960,31795,639,
911,SJM,4085,4100,637,코스피912위
912,TIGER 200TR,21965,21675,637,
913,선도전기,3535,3520,636,코스피914위
914,메타랩스,997,1005,635,코스피915위
915,TIGER 국채3년,111180,111155,634,
916,TIGER 코스피,30815,30685,632,
917,KBSTAR 금융채액티브,103365,103390,631,
918,호텔신라우,83000,83000,624,코스피919위
919,MH에탄올,8400,8050,620,코스피920위
920,KODEX 미디어&엔터테인먼트,21355,21420,619,
921,평화산업,1125,1110,618,코스피922위
922,우진플라임,6090,6000,609,코스피923위
923,TIGER 부동산인프라고배당,5050,5055,609,
924,부국증권우,20200,19950,606,코스피925위
925,케이탑리츠,1310,1325,606,
926,티에이치엔,3350,3390,603,코스피927위
927,KODEX 200IT TR,14605,14340,599,
928,미래산업,3200,3170,597,코스피929위
929,KODEX 미국달러선물,9970,10020,595,
930,TIGER 인버스,4370,4395,594,
931,한화솔루션우,52000,51600,584,코스피932위
932,대림통상,3835,3875,584,코스피933위
933,주연테크,1065,1030,582,코스피934위
934,한신기계,1785,1755,579,코스피935위
935,대동전자,5520,5580,579,코스피936위
936,KODEX IT,21355,20950,577,
937,롯데지주우,57900,58500,572,코스피938위
938,우진아이엔에스,7500,7500,572,코스피939위
939,전방,33950,33500,570,코스피940위
940,진양산업,4385,4340,570,코스피941위
941,미래에셋 레버리지 S&P500 ETN(H),28415,28415,568,
942,한일철강,2135,2150,564,코스피943위
943,TIGER MSCI KOREA ESG리더스,11945,11850,563,
944,삼성 레버리지 은 선물 ETN(H),18700,18785,561,
945,신한 레버리지 다우존스지수 선물 ETN(H),27955,27895,559,
946,동원금속,1195,1105,559,코스피947위
947,평화홀딩스,3815,3840,558,코스피948위
948,한국전자홀딩스,1190,1170,557,코스피949위
949,GS우,31150,31200,556,코스피950위
950,진도,4430,4725,551,코스피951위
951,폴루스바이오팜,1225,0,551,코스피952위
952,선창산업,4370,4380,551,코스피953위
953,화천기계,2500,2570,550,코스피954위
954,두산퓨얼셀2우B,18400,18700,549,코스피955위
955,이스타코,1280,1335,548,코스피956위
956,KBSTAR 미국나스닥100,10440,10420,543,
957,TIGER 200IT레버리지,67825,65500,543,
958,유엔젤,4100,4030,541,코스피959위
959,컨버즈,4100,0,539,코스피960위
960,TRUE S&P500 선물 ETN,10760,10760,538,
961,WISCOM,3495,3590,536,코스피962위
962,삼성 코스피 풋매도 ETN,10645,10645,532,
963,KODEX 코스피대형주,14730,14675,530,
964,TRUE 나스닥 100 ETN,10590,10605,530,
965,케이비아이동국실업,801,826,529,코스피966위
966,SJM홀딩스,3535,3515,528,코스피967위
967,SMART KRX300,19220,19020,519,
968,조일알미늄,608,615,517,코스피969위
969,TIGER 농산물선물Enhanced(H),5670,5670,510,
970,HANARO 200선물레버리지,28330,27835,510,
971,동일제강,3355,3510,503,코스피972위
972,체시스,1560,1585,499,코스피973위
973,대신 WTI원유 선물 ETN(H),6235,6190,499,
974,신송홀딩스,4200,4290,497,코스피975위
975,삼성 인버스 2X 나스닥 100 ETN(H),9905,9960,495,
976,대교우B,2545,2545,494,코스피977위
977,QV 소프트웨어 TOP5 ETN,24700,24550,494,
978,KODEX 건설,3100,3095,493,
979,KODEX 탄소효율그린뉴딜,9840,9755,492,
980,하이스틸,24550,25750,491,코스피981위
981,원림,22250,21350,490,코스피982위
982,롯데칠성우,62800,63000,487,코스피983위
983,두산2우B,54500,55000,487,코스피984위
984,KOSEF 단기자금,100975,100970,486,
985,하이트론,7170,7100,481,코스피986위
986,TIGER 미국채10년선물,11460,11475,481,
987,한성기업,7730,7760,480,코스피988위
988,진양화학,3980,4150,478,코스피989위
